Model,Strategy,Image_ID,True_Label,EN_Status,RO_Status,Direction
GPT,S3,133,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,141,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,143,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,144,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,147,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,160,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,161,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,168,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,170,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,172,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,177,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,187,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,189,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,191,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,216,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,219,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,223,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,252,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,314,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,327,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,334,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,352,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,377,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,402,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,403,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,404,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,494,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,497,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,508,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,544,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,547,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,572,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,578,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,580,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,582,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,594,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,596,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,715,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,744,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,745,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,750,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,769,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,877,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,946,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,968,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1001,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,1067,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1071,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1075,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1092,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,1094,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1129,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1130,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1134,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1137,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1143,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1147,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1149,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1151,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1152,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1153,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1154,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1156,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1157,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1158,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1161,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1165,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1166,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1168,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1173,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1175,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1177,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1178,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1181,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1183,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1184,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1185,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1186,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1189,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1195,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1196,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1198,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1199,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,1200,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,2,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,3,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,10,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,11,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,31,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,42,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,57,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,67,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,89,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,92,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,110,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,118,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,125,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,132,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,140,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,143,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,144,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,154,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,155,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,160,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,163,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,168,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,169,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,170,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,172,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,176,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,177,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,183,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,184,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,186,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,187,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,189,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,196,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,206,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,214,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,216,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,219,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,221,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,222,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,223,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,225,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,233,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,239,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,240,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,242,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,251,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,252,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,255,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,256,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,268,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,288,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,301,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,305,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,323,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,327,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,332,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,333,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,336,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,338,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,339,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,341,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,350,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,351,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,354,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,377,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,402,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,404,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,412,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,461,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,469,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,474,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,475,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,476,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,485,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,489,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,493,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,494,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,496,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,499,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,508,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,511,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,518,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,578,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,582,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,660,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,700,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,709,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,715,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,720,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,721,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,732,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,741,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,744,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,745,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,746,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,754,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,767,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,769,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,775,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,779,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,848,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,858,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,926,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,944,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,946,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,968,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,979,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1007,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1022,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1052,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1053,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1054,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1069,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1071,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1094,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1096,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1106,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1117,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1127,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1129,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S5,1134,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1137,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1140,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1143,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1145,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1147,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1148,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1149,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1151,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1152,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1153,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1155,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1156,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1157,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1160,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1161,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1165,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1166,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1168,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1169,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1170,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1171,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1172,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1173,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1175,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1177,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1183,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1186,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1189,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1192,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1196,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1198,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1199,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S5,1200,Real,UNPARSED,OK,"EN fails, RO ok"
Gemini,S4,20,Fake,UNPARSED,OK,"EN fails, RO ok"
Gemini,S4,22,Fake,UNPARSED,OK,"EN fails, RO ok"
Gemini,S4,426,Fake,UNPARSED,OK,"EN fails, RO ok"
Gemini,S4,488,Fake,UNPARSED,OK,"EN fails, RO ok"
Gemini,S4,952,Real,OK,UNPARSED,"RO fails, EN ok"
Qwen,S4,980,Real,OK,UNPARSED,"RO fails, EN ok"
